Mes,Etapa,Ingresos,Empleados,Combustibles,Mantenimiento,Servicios,Marketing,Admin,Otros,Costos_Total,Resultado,Acumulado,Div_SocioA,Div_SocioB,Div_SocioC
1,"0 - Leña",0,530000,225000,100000,0,0,0,60000,2500000,-2500000,-2500000,0,0,0
2,"0 - Leña",0,530000,225000,100000,0,0,0,60000,0,0,-2500000,0,0,0
3,"0 - Leña",0,530000,225000,100000,0,0,0,60000,0,0,-2500000,0,0,0
4,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,-2015000,0,0,0
5,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,-1530000,0,0,0
6,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,-1045000,0,0,0
7,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,-560000,0,0,0
8,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,-75000,0,0,0
9,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,410000,50925,50925,43650
10,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,895000,50925,50925,43650
11,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,1380000,50925,50925,43650
12,"0 - Leña",1440000,530000,225000,100000,0,0,0,60000,955000,485000,1865000,50925,50925,43650
13,"1 - Turismo Inicial",1440000,980000,120000,80000,95000,85000,60000,45000,1890000,-450000,1415000,0,0,0
14,"1 - Turismo Inicial",1860000,980000,120000,80000,95000,85000,60000,45000,1890000,-30000,1385000,0,0,0
15,"1 - Turismo Inicial",1860000,980000,120000,80000,95000,85000,60000,45000,1890000,-30000,1355000,0,0,0
16,"1 - Turismo Inicial",1860000,980000,120000,80000,95000,85000,60000,45000,1890000,-30000,1325000,0,0,0
17,"1 - Turismo Inicial",1860000,980000,120000,80000,95000,85000,60000,45000,1890000,-30000,1295000,0,0,0
18,"1 - Turismo Inicial",1860000,980000,120000,80000,95000,85000,60000,45000,1890000,-30000,1265000,0,0,0
19,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,2520000,175700,175700,150600
20,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,3775000,175700,175700,150600
21,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,5030000,175700,175700,150600
22,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,6285000,175700,175700,150600
23,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,7540000,175700,175700,150600
24,"2 - Expansión",4095000,0,180000,120000,140000,120000,95000,85000,2840000,1255000,8795000,175700,175700,150600
25,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,11590000,391300,391300,335400
26,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,14385000,391300,391300,335400
27,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,17180000,391300,391300,335400
28,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,19975000,391300,391300,335400
29,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,22770000,391300,391300,335400
30,"2 - Expansión",5635000,0,180000,120000,140000,120000,95000,85000,2840000,2795000,25565000,391300,391300,335400